,0
1,721
70,721
48,721
47,721
40,721
38,721
37,721
36,721
35,721
32,721
30,721
52,721
66,721
67,721
68,721
69,721
51,721
71,721
77,721
83,721
82,721
81,721
80,721
72,721
78,721
79,721
76,721
13,721
73,721
62,720
63,720
64,720
75,720
61,720
60,720
59,720
58,720
56,720
74,720
55,720
54,720
65,720
2,720
50,720
49,720
4,720
5,720
6,720
7,720
8,720
9,720
10,720
11,720
12,720
14,720
15,720
18,720
19,720
24,720
25,720
26,720
27,720
28,720
29,720
31,720
33,720
34,720
39,720
41,720
42,720
43,720
3,720
45,720
